CONFIDENTIAL GBP MASTER PRICE LIST 1 JANUARY 2025 - CURRENT PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK AVAILABILITY,,,,,,,,,,,,
"We aim for 100% immediAUe ex-stock availability of all products in this price list, with the exception of 'bespoke' products/items - which may have a short lead time (please ask for this when placing your order).",,,,,,,,,,,,
,,,,,,,,,,,,
BACKEYE360 Select - Complete Systems,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,S7525,VBV-360-1000-ECU-AI,Backeye®360 Spare VBV-360-1000 AI ECU,620.80,558.72,496.64,434.56,403.52,372.48,341.44,310.40,279.36
A,S7526,VBV-2240-AI-D04,Backeye®360 Spare AI-FHD Camera,435.75,392.18,348.60,305.02,283.24,261.45,239.66,217.88,196.09
A,S7529,VBV-360-AI-RC,Backeye®360 VBV-360-1000-AI Remote Control,8.98,8.08,7.18,6.29,5.84,5.39,4.94,4.49,4.04
A,7626,VBV-360-CALMAT-PRE,"Backeye®360 VBV-360-1000-ai Calibration Mat, Premium x 4",265.65,239.08,212.52,185.96,172.67,159.39,146.11,132.82,119.54
A,7627,VBV-360-CALMAT-STD,"Backeye®360 VBV-360-1000-ai Calibration Mat, Standard x 4",52.60,47.34,42.08,36.82,34.19,31.56,28.93,26.30,23.67
A,8036,VBV-360-1000ECU-VI,Backeye®360 Video Input Harness - 4 Pin,34.90,31.41,27.92,24.43,22.69,20.94,19.20,17.45,15.70
A,8037,VBV-22X0C-CA(No Alm),VBV-22X0C-CA (No Alarm),11.30,10.17,9.04,7.91,7.35,6.78,6.22,5.65,5.09
A,8041,AI-360MDR-4PIN-KIT,Backeye®AI-360 MDR 4 Pin Kit,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,60.08
A,S7590,VBV-360-1000-IR,Backeye®360 IR Receiver,8.58,7.72,6.86,6.01,5.58,5.15,4.72,4.29,3.86
A,S7591,VBV-360-1000-ECU_PH,Backeye®360 Power Harness,5.50,4.95,4.40,3.85,3.58,3.30,3.03,2.75,2.47
A,S7592,VBV-360-1000-ECU-VI,Backeye®360 Video Input Harness ,61.05,54.94,48.84,42.74,39.68,36.63,33.58,30.53,27.47
A,S7593,VBV-360-1000-ECU-VO,Backeye®360 Video Output Harness ,41.56,37.40,33.25,29.09,27.01,24.94,22.86,20.78,18.70
A,S7594,VBV-360-1000-ECU-VOC,Backeye®360 Video Output Cable,27.45,24.71,21.96,19.22,17.84,16.47,15.10,13.73,12.35
A,S7653,VBV-222XC-AI-DVS-RM,Rubber Mounting Mat for VBV-2220C-AI-DVS & VBV-2240C-AI-D04,9.60,8.64,7.68,6.72,6.24,5.76,5.28,4.80,4.32
Calibration tools for Backeye360 Systems,,,,,,,,,,,,
A,5405,BN360-CK-02,Backeye®360 BN360-200 Calibration Kit,467.57,467.57,467.57,467.57,467.57,467.57,467.57,467.57,350.68
A,4557,BN360-CAL-MAT,"Backeye®360 BN360-200, BN360-300 Calibration Mat ",14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,10.63
A,4443,SLP1,Backeye®360 Laser Level,77.93,77.93,77.93,77.93,77.93,77.93,77.93,77.93,58.45
A,5210B,BN360-200-USB,Backeye®360 BN360-200 Installation Software USB ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A,4520,BN360-CT-01,"Backeye®360 BN360-200, BN360-300-ECU-10 Calibration & Service Tool ",410.89,410.89,410.89,410.89,410.89,410.89,410.89,410.89,308.17
,,,,,,,,,,,,
Camera Monitor Systems (CMS) - Complete Systems,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,A3231,BE-870L-000,"CMS Elite, 7 Inch LCD, Single Camera - Large Rigids (PAL)",783.93,705.54,627.15,548.75,509.56,470.36,431.16,391.97,368.44
A,2928B,BE-870L-010,"CMS Elite, 7 Inch LCD, Single Camera - with KET Connector",846.83,762.15,677.47,592.78,550.44,508.10,465.76,423.42,381.07
A,A3131,BE-870L-000N,"CMS Elite, 7 Inch LCD, Single Camera - Large Rigids (NTSC)",783.93,705.54,627.14,548.75,509.55,470.36,431.16,391.96,368.44
A,4397,BE-870L-090,"CMS Elite, 7 Inch LCD, Single IP69K Camera - Large Rigid (PAL)",837.23,753.50,669.78,586.06,544.20,502.34,460.47,418.61,376.75
A,4032A,BE-870L-100,"CMS Elite, 7 Inch LCD, Single Shutter Camera - Large Rigids (PAL)",941.89,847.70,753.51,659.32,612.23,565.13,518.04,470.94,423.85
A,4012,BE-856G-000,"CMS Elite, 5.6 Inch LCD, Single Camera - Large Rigids (PAL)",935.54,841.98,748.43,654.88,608.10,561.32,514.55,467.77,427.22
A,4781B,VBV-770-310,"CMS Select, 7 Inch LCD, Flush-Mount Camera - Small Rigids (PAL)",517.16,465.45,413.73,362.01,336.16,310.30,284.44,258.58,242.15
A,4694C,VBV-770-010N,"CMS Select, 7 Inch LCD, Single Camera - Small Rigids (NTSC)",460.49,414.44,368.39,322.34,299.32,276.29,253.27,230.24,207.22
A,4777B,VBV-770-300,"CMS Select, 7 Inch LCD, Flush-Mount Camera - Large Rigids (PAL)",531.33,478.20,425.06,371.93,345.36,318.80,292.23,265.66,245.27
A,7217,VBV-770-910,"CMS Select, 7 Inch LCD, Select Camera (PAL) ",574.18,516.76,459.34,401.93,373.22,344.51,315.80,287.09,232.33
A,4692C,VBV-770-000,"CMS Select, 7 Inch LCD, Single Camera - Large Rigids (PAL) CMOS",467.57,420.81,374.05,327.30,303.92,280.54,257.16,233.78,210.40
A,4693C,VBV-770-000N,"CMS Select, 7 Inch LCD, Single Camera - Large Rigids (NTSC)",467.57,420.81,374.05,327.30,303.92,280.54,257.16,233.78,210.40
A,4695C,VBV-770-100,"CMS Select, 7 Inch LCD, Single Shutter Camera - Large Rigids (PAL)",509.53,458.58,407.62,356.67,331.19,305.72,280.24,254.76,244.17
A,4770A,VBV-770-100N,"CMS Select, 7 Inch LCD, Single Shutter Camera - Large Rigids (NTSC)",509.53,458.58,407.62,356.67,331.19,305.72,280.24,254.76,244.17
A,4843B,VBV-770-001DW,"CMS Select, 7 Inch LCD, Single Camera & Wireless Kit - Articulated Trucks (PAL)",709.41,638.47,567.53,496.59,461.11,425.64,390.17,354.70,344.39
A,4767B,VBV-770-001,"CMS Select, 7 Inch LCD, Single Camera - Articulated Trucks (PAL)",637.59,573.83,510.07,446.31,414.43,382.55,350.67,318.79,287.39
A,4772A,VBV-770-101,"CMS Select, 7 Inch LCD, Single Shutter Camera - Articulated Trucks (PAL)",623.97,561.58,499.18,436.78,405.58,374.38,343.19,311.99,303.04
A,7246,VBV-770H-100,"CMS Select, Single AHD Camera Monitor System for Rigid Vehicles",605.44,544.89,484.35,423.80,393.53,363.26,332.99,302.72,244.97
A,6111,VBV-770H-7000,"CMS Select, Single AHD Camera Monitor System for Rigid Vehicles",533.51,480.16,426.80,373.45,346.78,320.10,293.43,266.75,236.96
A,6123,VBV-770H-7001,"CMS Select, Single AHD Camera Monitor System for Rigid Vehicles",564.19,507.77,451.35,394.93,366.72,338.51,310.31,282.10,236.96
A,8144,VBV-770H-7100,"CMS Select, Single 1080p AHD Camera Monitor System for Rigid Vehicles 25fps",592.18,532.96,473.74,414.53,384.92,355.31,325.70,296.09,248.72
A,7674,VBV-770H-7101,"CMS Select, 1080p Single AHD Camera Monitor System for Rigid Vehicles 30fps",592.18,532.96,473.74,414.53,384.92,355.31,325.70,296.09,248.72
A,6112,VBV-770H-3000,"CMS Select, Single AHD Camera Flush Mount Monitor System for Rigid Vehicles",564.19,507.77,451.35,394.93,366.72,338.51,310.31,282.10,236.96
A,6124,VBV-770H-3001,"CMS Select, Single AHD Camera Flush Mount Monitor System for Rigid Vehicles",564.19,507.77,451.35,394.93,366.72,338.51,310.31,282.10,240.30
A,6113,VBV-770H-3100,"CMS Select, Single AHD Camera Flush Mount Monitor System for Vans",557.38,501.64,445.90,390.16,362.29,334.43,306.56,278.69,234.10
A,6125,VBV-770H-3101,"CMS Select, Single AHD Camera Flush Mount Monitor System for Vans",557.38,501.64,445.90,390.16,362.29,334.43,306.56,278.69,237.43
A,4780A,VBV-750-310,"CMS Select, 5 Inch LCD, Flush-Mount Camera - Small Rigids (PAL)",474.65,427.19,379.72,332.26,308.52,284.79,261.06,237.33,224.38
A,4776A,VBV-750-300,"CMS Select, 5 Inch LCD, Flush-Mount Camera - Large Rigids (PAL)",488.82,439.94,391.06,342.18,317.73,293.29,268.85,244.41,227.49
A,4705C,VBV-750-000,"CMS Select, 5 Inch LCD, Single Camera - Large Rigids (PAL) CMOS",445.31,400.78,356.25,311.72,289.45,267.19,244.92,222.65,200.39
A,5774,VBV-670-000,"CMS Essential, 7 Inch LCD, Single Camera (PAL)",268.32,241.49,214.66,187.83,174.41,160.99,147.58,134.16,120.75
A,5816,VBV-671-000,"CMS Essential, 7 Inch LCD, Single Camera (NTSC)",268.32,241.49,214.66,187.83,174.41,160.99,147.58,134.16,120.75
A,4765C,VBV-650-000,"CMS Essential, 5 Inch LCD, Single Camera - Large Rigids (PAL)",283.37,255.04,226.70,198.36,184.19,170.02,155.86,141.69,127.52
A,4765D,VBV-650-000,"CMS Essential, 5 Inch LCD, Single Camera - Large Rigids (PAL) CMOS",283.37,255.03,226.70,198.36,184.19,170.02,155.85,141.68,127.52
A,4766C,VBV-650-000N,"CMS Essential, 5 Inch LCD, Single Camera - Large Rigids (NTSC)",283.37,255.04,226.70,198.36,184.19,170.02,155.86,141.69,127.52
A,4766D,VBV-650-000N,"CMS Essential, 5 Inch LCD, Single Camera - Large Rigids (NTSC) CMOS",283.37,255.03,226.70,198.36,184.19,170.02,155.85,141.68,127.52
A,6638,FX-7-01,"FX Sense & Vision Reversing Safety Kit, 7 nch Monitor ",1797.34,1617.60,1437.87,1258.14,1168.27,1078.40,988.54,898.67,773.44
A,6639,FX-9-01,"FX Sense & Vision Reversing Safety Kit, 9 Inch Monitor ",1980.45,1782.41,1584.36,1386.32,1287.29,1188.27,1089.25,990.23,905.19
A,6640,FX-10.4-01,"FX Sense & Vision Reversing Safety Kit, 10.4 Inch Monitor ",2065.94,1859.35,1652.75,1446.16,1342.86,1239.57,1136.27,1032.97,897.15
A,7251,FX-7-01-AHD,FX 3 Camera AHD System with 7 Inch Monitor for Fedex,1802.41,1622.17,1441.93,1261.69,1171.56,1081.44,991.32,901.20,756.36
A,7250,FX-10.4-01-AHD,FX 3 Camera AHD System with 10.4 Inch Monitor for Fedex,2163.55,1947.20,1730.84,1514.49,1406.31,1298.13,1189.95,1081.78,893.14
A,7680,VBV-770-3100,"CMS Select Kit 3100c, 770HM, 10m Cable",588.84,529.96,471.08,412.19,382.75,353.31,323.86,294.42,247.31
A,7681,VBV-770-3200,"CMS Select Kit 3100c, 770HM, 20m Cable",595.66,536.09,476.53,416.96,387.18,357.40,327.61,297.83,250.18
A,7595,VBV-6172-000,"AHD 1080p Camera Kit, 7 Inch Monitor, 20m Cable (PAL & NTSC)",275.50,247.95,220.40,192.85,179.08,165.30,151.52,137.75,123.98
,,,,,,,,,,,,
Cameras,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,2871E,BE-890C,"Elite Camera, WDR, Waterproof to IP69K - No Audio (PAL)",313.99,282.59,251.19,219.80,204.10,188.40,172.70,157.00,141.30
A,5426A,BE-891C,"Elite Camera, WDR, Waterproof to IP69K - No Audio (NTSC)",313.99,282.59,251.19,219.80,204.10,188.40,172.70,157.00,141.30
A,4924B,BE-850C,"Elite Camera, 12/24Vdc - Waterproof to IP69K (PAL) CMOS",319.51,287.55,255.60,223.65,207.68,191.70,175.73,159.75,143.78
A,1623E,BE-800C,"Elite Camera, WDR, Heated & Audio (PAL)",295.52,265.97,236.42,206.87,192.09,177.31,162.54,147.76,132.99
A,6408,BE-8100C,"Elite Camera, WDR, Heated , Audio, AHD 1080p 25fps (PAL)",367.46,330.71,293.97,257.22,238.85,220.48,202.10,183.73,165.36
A,1905D,BE-801C,"Elite Camera, WDR Heated & Audio (NTSC)",295.52,265.97,236.42,206.87,192.09,177.31,162.54,147.76,132.99
A,6410,BE-8101C,"Elite Camera, WDR Heated, Audio, AHD 1080p 30fps  (NTSC)",367.46,330.71,293.97,257.22,238.85,220.48,202.10,183.73,165.36
A,1559D,BE-800C(40),"Elite Camera, WDR, Heated & Audio - Narrow View 40° (PAL)",297.89,268.10,238.31,208.52,193.63,178.73,163.84,148.95,134.05
A,2085C,BE-801C(40),"Elite Camera, WDR, Heated & Audio - Narrow View 40° (NTSC)",297.89,268.10,238.31,208.52,193.63,178.73,163.84,148.95,134.05
A,1426D,BE-800C(78),"Elite Camera WDR, Heated & Audio - Narrow View 78° (PAL)",297.89,268.10,238.31,208.52,193.63,178.73,163.84,148.95,134.05
F,4247C,BE-800C-NIR,"Elite Camera, Heated & Audio, No IR LEDS (PAL)",302.91,272.62,242.33,212.04,196.89,181.75,166.60,151.46,136.31
A,2084C,BE-801C(78),"Elite Camera, WDR, Heated & Audio - Narrow View 78° (NTSC)",297.89,268.10,238.31,208.52,193.63,178.73,163.84,148.95,134.05
A,1242E,BE-810C,"Elite Camera, Heated Shutter & Audio (PAL) CMOS",418.66,376.79,334.93,293.06,272.13,251.19,230.26,209.33,188.40
A,2914D,BE-811C,"Elite Camera, Heated Shutter & Audio (NTSC)",418.66,376.79,334.93,293.06,272.13,251.19,230.26,209.33,188.40
A,5735,MD-50,"Select Camera, Mini Dome Camera (PAL)",183.46,165.12,146.77,128.43,119.25,110.08,100.91,91.73,82.56
A,5736,MD-51,"Select Camera, Mini Dome Camera (NTSC)",183.46,165.12,146.77,128.43,119.25,110.08,100.91,91.73,82.56
A,5737,MD-60,"Select Camera, Mini Dome Camera - 720p / 25fps (AHD)",183.46,165.12,146.77,128.43,119.25,110.08,100.91,91.73,82.56
A,5738,MD-61,"Select Camera, Mini Dome Camera - 720p / 30fps (AHD)",183.46,165.12,146.77,128.43,119.25,110.08,100.91,91.73,82.56
A,5717,DMC-1025,"Select Camera, Mini Camera (Internal Use) (PAL)",145.24,130.72,116.19,101.67,94.41,87.15,79.88,72.62,65.36
A,5715,DMC-1021,"Select Camera, Mini Camera (Internal Use) (NTSC)",145.24,130.72,116.19,101.67,94.41,87.15,79.88,72.62,65.36
A,5721,DMC-1035,"Select Camera, Mini Camera (Internal Use) 720p / 25fps (AHD)",145.24,130.72,116.19,101.67,94.41,87.15,79.88,72.62,65.36
A,5719,DMC-1031,"Select Camera, Mini Camera (Internal Use) 720p / 30fps (AHD)",145.24,130.72,116.19,101.67,94.41,87.15,79.88,72.62,65.36
A,5692,MD-50(W),"Select Camera, Mini Dome Camera, Wide (PAL)",175.13,157.61,140.10,122.59,113.83,105.08,96.32,87.56,78.81
A,5694,MD-51(W),"Select Camera, Mini Dome Camera, Wide (NTSC)",175.13,157.61,140.10,122.59,113.83,105.08,96.32,87.56,78.81
A,5696,MD-60(W),"Select Camera, Mini Dome Camera - 720p / 25fps, Wide Angle (AHD)",175.13,157.61,140.10,122.59,113.83,105.08,96.32,87.56,78.81
A,5698,MD-61(W),"Select Camera, Mini Dome Camera - 720p / 30fps, Wide Angle (AHD)",175.13,157.61,140.10,122.59,113.83,105.08,96.32,87.56,78.81
A,5683,MD-50(SW),"Select Camera, Mini Dome Camera, Super Wide (PAL)",186.45,167.80,149.16,130.51,121.19,111.87,102.55,93.22,83.90
A,5686,MD-51(SW),"Select Camera, Mini Dome Camera, Super Wide (NTSC)",186.45,167.80,149.16,130.51,121.19,111.87,102.55,93.22,83.90
A,5688,MD-60(SW),"Select Camera, Mini Dome Camera - 720p / 25fps, Super Wide Angle (AHD)",186.45,167.80,149.16,130.51,121.19,111.87,102.55,93.22,83.90
A,5690,MD-61(SW),"Select Camera, Mini Dome Camera - 720p / 30fps, Super Wide Angle (AHD)",186.45,167.80,149.16,130.51,121.19,111.87,102.55,93.22,83.90
A,1379E,VBV-700C,"Select Camera, Audio (PAL) CMOS",148.54,133.69,118.83,103.98,96.55,89.13,81.70,74.27,62.39
A,5464,VBV-7000C,"Select Camera, Audio, HD 720p 25fps",166.75,150.07,133.40,116.72,108.39,100.05,91.71,83.37,70.03
A,5466,VBV-7100C,"Select Camera, Audio, HD 1080p 25fps",194.74,175.26,155.79,136.32,126.58,116.84,107.10,97.37,81.79
A,5466A,VBV-7100C,"Select Camera, Audio, HD 1080p 25fps",194.74,175.26,155.79,136.32,126.58,116.84,107.10,97.37,81.79
A,2575D,VBV-701C,"Select Camera, Audio (NTSC) CMOS",148.54,133.69,118.83,103.98,96.55,89.13,81.70,74.27,62.39
A,5465,VBV-7001C,"Select Camera, Audio, HD 720p 30fps",166.75,150.07,133.40,116.72,108.39,100.05,91.71,83.37,70.03
A,5467,VBV-7101C,"Select Camera, Audio, HD 1080p 30fps",194.74,175.26,155.79,136.32,126.58,116.84,107.10,97.37,81.79
A,5467A,VBV-7101C,"Select Camera, Audio, HD 1080p 30fps",194.74,175.26,155.79,136.32,126.58,116.84,107.10,97.37,81.79
A,2724D,VBV-790C,"Select Camera, Waterproof to IP69K - No Audio (PAL) CMOS",165.05,148.54,132.04,115.53,107.28,99.03,90.78,82.52,69.32
A,5468,VBV-7090C,"Select Camera, Waterproof to IP69K - No Audio HD 720p 25fps",166.75,150.07,133.40,116.72,108.39,100.05,91.71,83.37,70.03
A,5470,VBV-7190C,"Select Camera, Waterproof, No Audio, HD 1080p 25fps",194.74,175.26,155.79,136.32,126.58,116.84,107.10,97.37,81.79
A,2842D,VBV-791C,"Select Camera, Waterproof to IP69K - No Audio (NTSC)",165.05,148.54,132.04,115.53,107.28,99.03,90.78,82.52,69.32
A,5469,VBV-7091C,"Select Camera, Waterproof to IP69K - No Audio HD 720p 30fps",166.75,150.07,133.40,116.72,108.39,100.05,91.71,83.37,70.03
A,5471,VBV-7191C,"Select Camera, Waterproof, NoAudio, HD 1080p 30fps",194.74,175.26,155.79,136.32,126.58,116.84,107.10,97.37,81.79
A,2808C,VBV-710C,"Select Camera, Heated Shutter & Audio (PAL)",185.83,167.25,148.66,130.08,120.79,111.50,102.21,92.91,78.05
A,8034,VBV-7110C,"Select Camera, AHD Heated Shutter & Audio (PAL)",235.50,211.95,188.40,164.85,153.07,141.30,129.52,117.75,98.91
A,2841C,VBV-711C,"Select Camera, Heated Shutter & Audio (NTSC)",185.83,167.25,148.66,130.08,120.79,111.50,102.21,92.91,78.05
A,8039,VBV-7111C,"Select Camera, AHD Heated Shutter & Audio (NTSC)",235.50,211.95,188.40,164.85,153.07,141.30,129.52,117.75,98.91
A,2199C,VBV-485C,"Select Camera, Cylinder Camera (PAL)",170.50,153.45,136.40,119.35,110.82,102.30,93.77,85.25,71.61
A,2843C,VBV-481C,"Select Camera, Cylinder Camera (NTSC)",165.05,148.54,132.04,115.53,107.28,99.03,90.78,82.52,69.32
A,5211A,VBV-300C,"Select Camera, Compact F/mount Eyeball (Mirror) (PAL) CMOS",188.44,169.60,150.76,131.91,122.49,113.07,103.64,94.22,79.15
Q,5213,VBV-301C,"Select Camera, Compact Flush-mount Eyeball Camera (Mirror Image) (NTSC) CCD",188.44,169.60,150.76,131.91,122.49,113.07,103.64,94.22,79.15
A,5213A,VBV-301C,"Select Camera, Compact F/mount Eyeball Camera (Mirror) (NTSC) CMOS",188.44,169.60,150.76,131.91,122.49,113.07,103.64,94.22,79.15
A,5215A,VBV-320C,"Select Camera, Compact F/mount Eyeball Camera (Normal Image) (PAL) CMOS",188.44,169.60,150.76,131.91,122.49,113.07,103.64,94.22,79.15
A,5217A,VBV-321C,"Select Camera, Compact F/mount Eyeball Camera (Normal Image) (NTSC) CMOS",188.44,169.60,150.76,131.91,122.49,113.07,103.64,94.22,79.15
A,5783,VBV-300C(CO-DIS),"Select Camera, Kit with Conduit and Disassembled",210.96,189.86,168.77,147.67,137.12,126.57,116.03,105.48,157.33
A,5454,VBV-3000C,"Select Camera, Compact Flush-mount Eyeball Camera AHD (Mirror Image) 25fps",166.75,150.07,133.40,116.72,108.39,100.05,91.71,83.37,70.03
A,5455,VBV-3001C,"Select Camera, Compact Flush-mount Eyeball Camera AHD (Mirror Image) 30fps",174.69,157.22,139.75,122.28,113.55,104.81,96.08,87.34,73.37
A,5456,VBV-3020C,"Select Camera, Compact Flush-mount Eyeball Camera AHD (Normal Image) 25fps",166.75,150.07,133.40,116.72,108.39,100.05,91.71,83.37,70.03
A,5457,VBV-3021C,"Select Camera, Compact Flush-mount Eyeball Camera AHD (Normal Image) 30fps",174.69,157.22,139.75,122.28,113.55,104.81,96.08,87.34,73.37
